20210226a,2,Andrew,37
20210226a,3,Troy,32
20210226a,4,Joe,31
20210303a,1,George,49
20210303a,2,Andrew,43
20210303a,3,Joe,35
20210303a,4,Troy,29
20210303a,5,Jesse,14
20210324a,1,George,45
20210324a,2,Raji,42
20210324a,3,Joe,40
20210324a,4,Troy,34
20210324a,5,Dave,33
20210326a,1,Joe,72
20210326a,2,Troy,58
20210326a,3,George,52
20210331a,1,Dave,71
20210331a,2,Ruby,33
20210331a,3,Joe,29
20210402a,1,Dave,53
20210402a,2,Ruby,52
20210402a,3,Joe,36
20210402a,4,Jesse,20
20210407a,1,George,56
20210407a,2,Joe,32
20210407a,3,Dave,30
20210407a,4,Troy,27
20210407a,5,Jesse,18
20210409a,1,Troy,21
20210409a,2,Joe,18
20210409a,3,Dave,15
20210409a,4,Shelby,12
20210409a,4,Jesse,12
20210409a,6,Raji,7
20210414a,1,Dave,73
20210414a,2,Raji,46
20210414a,3,Joe,44
20210414a,4,Troy,33
20210421a,1,Dave,2
20210421a,2,Raji,1
20210421b,1,Dave,2
20210421b,2,Raji,1
20210421c,1,Raji,2
20210421c,2,Dave,1
20210421d,1,Raji,45
20210421d,2,Joe,43
20210421d,3,Dave,16
20210421e,1,Dave,67
20210421e,2,Raji,45
20210421e,3,Joe,39
20210423a,1,Raji,41
20210423a,2,Dave,33
20210423a,3,Jesse,31
20210423a,4,Joe,29
20210430a,1,Dave,50
20210430a,2,Troy,45
20210430a,3,Jesse,45
20210430a,4,Joe,29
20210430b,1,Dave,30
20210430b,2,Troy,21
20210430b,3,Joe,11
20210430b,4,Jesse,8
20210505a,1,George,66
20210505a,2,Raji,56
20210505a,3,Andrew,53
20210505a,4,Joe,25
20210512a,1,Andrew,56
20210512a,2,George,43
20210512a,3,Raji,37
20210512a,4,Dave,32
20210512a,5,Troy,23
20210512a,6,Joe,9
20210514a,1,Raji,23
20210514a,2,Dave,10
20210514a,3,Jesse,0
20210514a,3,Troy,0
20210514b,1,Raji,66
20210514b,2,Dave,47
20210514b,3,Jesse,40
20210519a,1,Joe,58
20210519a,2,Raji,54
20210519a,3,Dave,46
20210519b,1,Dave,53
20210519b,2,Raji,49
20210519b,3,Joe,39
20210521a,1,Dave,63
20210521a,2,Troy,42
20210521a,3,Ruby,22
